Date,Close
01/03/2001,2.5342
02/04/2001,2.5401
01/05/2001,2.533
01/06/2001,2.5563
03/06/2002,1.94099998
01/07/2002,2.0079999
01/08/2002,2.03900003
02/09/2002,2.39299989
01/10/2002,2.3829999
01/11/2002,2.45499992
02/12/2002,2.4519999
01/01/2003,2.30699992
03/02/2003,2.31599998
03/03/2003,2.29099989
01/04/2003,2.23799992
01/05/2003,2.27800012
02/06/2003,2.35299993
01/07/2003,2.31200004
01/08/2003,2.4059999
01/09/2003,2.53600001
01/10/2003,2.83699989
03/11/2003,2.53800011
01/12/2003,2.66700006
01/01/2004,2.59899998
02/02/2004,2.63100004
01/03/2004,2.70499992
01/04/2004,3.31399989
03/05/2004,3.40799999
01/06/2004,3.29699993
01/07/2004,3.49399996
02/08/2004,3.38499999
01/09/2004,3.44300008
01/10/2004,3.48699999
01/11/2004,3.5250001
01/12/2004,3.15100002
03/01/2005,3.21099997
01/02/2005,2.78200006
01/03/2005,2.52200007
01/04/2005,2.4059999
02/05/2005,2.26900005
01/06/2005,1.99699998
01/07/2005,1.77900004
01/08/2005,1.745
01/09/2005,1.73500001
03/10/2005,1.68099999
01/11/2005,2.30800009
01/12/2005,1.82000005
02/01/2006,1.86199999
01/02/2006,1.74300003
01/03/2006,1.98199999
03/04/2006,2.1500001
01/05/2006,2.12899995
01/06/2006,2.20300007
03/07/2006,2.30500007
01/08/2006,2.30200005
01/09/2006,2.16700006
02/10/2006,2.19199991
01/11/2006,2.25099993
01/12/2006,2.28900003
01/01/2007,2.16400003
01/02/2007,2.26399994
01/03/2007,2.38000011
02/04/2007,2.63000011
01/05/2007,2.95099998
01/06/2007,3.1960001
02/07/2007,3.30200005
01/08/2007,3.27200007
03/09/2007,3.53999996
01/10/2007,3.59599996
01/11/2007,4.02400017
03/12/2007,3.45799994
01/01/2008,3.8499999
01/02/2008,3.68600011
03/03/2008,3.65400004
01/04/2008,3.62400007
01/05/2008,3.66700006
02/06/2008,3.53699994
01/07/2008,3.93400002
01/08/2008,3.85500002
01/09/2008,3.4000001
01/10/2008,2.68000007
03/11/2008,1.86000001
01/12/2008,1.24399996
01/01/2009,1.27100003
02/02/2009,1.44000006
02/03/2009,1.37699997
01/04/2009,1.38900006
01/05/2009,1.22000003
01/06/2009,1.22500002
01/07/2009,1.29100001
03/08/2009,1.75
01/09/2009,1.65999997
01/10/2009,1.70000005
02/11/2009,1.87
01/12/2009,1.89999998
01/01/2010,1.89999998
01/02/2010,2.07999992
01/03/2010,1.97000003
01/04/2010,2.0999999
03/05/2010,2.1400001
01/06/2010,2.29999995
01/07/2010,2.22000003
02/08/2010,2.22000003
01/09/2010,2.13000011
01/10/2010,2.18000007
01/11/2010,2.74000001
01/12/2010,3.4000001
03/01/2011,3.20000005
01/02/2011,3.20000005
01/03/2011,3.18000007
01/04/2011,3.16000009
02/05/2011,3.20000005
01/06/2011,3.58999991
01/07/2011,3.47000003
01/08/2011,3.95000005
01/09/2011,3.70000005
03/10/2011,3.4000001
01/11/2011,3
01/12/2011,2.8599999
02/01/2012,2.88000011
01/02/2012,3.02999997
01/03/2012,2.97000003
02/04/2012,2.88000011
01/05/2012,2.54999995
01/06/2012,2.4000001
02/07/2012,2.3900001
01/08/2012,2.86999989
03/09/2012,2.95000005
01/10/2012,3.07999992
01/11/2012,3.04999995
03/12/2012,3.08500004
01/01/2013,3.07999992
01/02/2013,3.05999994
01/03/2013,3.05999994
01/04/2013,3.02999997
01/05/2013,3.05999994
03/06/2013,3.38000011
01/07/2013,3.29999995
01/08/2013,3.75999999
02/09/2013,3.79999995
01/10/2013,3.91000009
01/11/2013,4.28999996
02/12/2013,4.38999987
01/01/2014,3.81999993
03/02/2014,3.56999993
03/03/2014,3.51999998
01/04/2014,3.79999995
01/05/2014,3.77999997
02/06/2014,3.6500001
01/07/2014,3.92499995
01/08/2014,3.94300008
01/09/2014,3.8499999
01/10/2014,3.46799994
03/11/2014,3.16599989
01/12/2014,3.36899996
01/01/2015,3.22000003
02/02/2015,3.13599992
02/03/2015,3.25600004
01/04/2015,2.97799993
01/05/2015,2.22600007
01/06/2015,2.477
01/07/2015,2.63000011
03/08/2015,2.55999994
01/09/2015,2.75099993
01/10/2015,2.63000011
02/11/2015,2.75399995
01/12/2015,2.47300005
01/01/2016,2.58400011
01/02/2016,2.49799991
01/03/2016,2.35700011
01/04/2016,2.3295
02/05/2016,2.346
01/06/2016,2.339
01/07/2016,2.2359
01/08/2016,2.1362
01/09/2016,2.1752
03/10/2016,2.1783
01/11/2016,2.262
01/12/2016,2.7661
02/01/2017,2.7206
01/02/2017,2.7448
01/03/2017,2.8414
03/04/2017,3.1323
01/05/2017,3.4936
01/06/2017,3.4297
03/07/2017,3.3699
01/08/2017,3.3935
01/09/2017,3.4496
02/10/2017,3.5653
01/11/2017,3.7202
01/12/2017,3.7823
01/01/2018,3.5793
01/02/2018,3.3669
01/03/2018,3.3576
02/04/2018,3.054
01/05/2018,3.1631
01/06/2018,3.1589
02/07/2018,2.8501
01/08/2018,2.7895
03/09/2018,2.9642
01/10/2018,2.8155
01/11/2018,2.6133
03/12/2018,2.6171
01/01/2019,2.3994
01/02/2019,2.4399
01/03/2019,2.4045
01/04/2019,2.6527
01/05/2019,2.5459
03/06/2019,2.5052
01/08/2019,2.5555
02/09/2019,2.628
01/10/2019,2.6774
01/11/2019,2.6262
02/12/2019,2.5523
01/01/2020,2.3122
03/02/2020,2.076
02/03/2020,1.82
01/04/2020,1.143
01/05/2020,1.56
01/06/2020,2.16
01/07/2020,2.273
03/08/2020,2.503
01/09/2020,2.61
01/10/2020,2.74
02/11/2020,3.08
01/12/2020,2.7
01/01/2021,2.83
01/02/2021,2.697
01/03/2021,2.54
01/04/2021,2.5999
03/05/2021,2.563
01/06/2021,2.322
01/07/2021,1.96
02/08/2021,2.248
01/09/2021,2.295
01/10/2021,2.237
01/11/2021,2.169
01/12/2021,2.195
03/01/2022,2.023
01/02/2022,2.071
01/03/2022,2.147
01/04/2022,2.148
02/05/2022,1.99
01/06/2022,1.914
01/07/2022,1.705
01/08/2022,1.709
01/09/2022,1.853
03/10/2022,1.732
01/11/2022,2.152
01/12/2022,2.148
02/01/2023,2.115
01/02/2023,2.296
01/03/2023,2.21
03/04/2023,2.115
01/05/2023,1.96
01/06/2023,1.863
03/07/2023,1.74
01/08/2023,1.937
01/09/2023,2.164
02/10/2023,2.335
01/11/2023,2.421
01/12/2023,2.17
01/01/2024,1.919
01/02/2024,1.778
01/03/2024,1.758
01/04/2024,1.68
01/05/2024,1.645
03/06/2024,1.534
01/07/2024,1.466
01/08/2024,1.513
02/09/2024,1.451
01/10/2024,1.371
01/11/2024,1.38
