Date,Close
01/11/2024,"4,6055"
01/10/2024,"4,6440"
01/09/2024,"4,3920"
01/08/2024,"4,4770"
01/07/2024,"4,4600"
01/06/2024,"4,6760"
01/05/2024,"4,7980"
01/04/2024,"4,7760"
01/03/2024,"4,4920"
01/02/2024,"4,5790"
01/01/2024,"4,8170"
01/12/2023,"4,7400"
01/11/2023,"4,9010"
01/10/2023,"5,0040"
01/09/2023,"5,0760"
01/08/2023,"5,1490"
01/07/2023,"5,1680"
01/06/2023,"5,3450"
01/05/2023,"4,7050"
01/04/2023,"4,3150"
01/03/2023,"4,0150"
01/02/2023,"4,0810"
01/01/2023,"3,4510"
01/12/2022,"3,9060"
01/11/2022,"3,2040"
01/10/2022,"3,0090"
01/09/2022,"3,5700"
01/08/2022,"2,8000"
01/07/2022,"1,7640"
01/06/2022,"1,8560"
01/05/2022,"1,5260"
01/04/2022,"1,4950"
01/03/2022,"1,2630"
01/02/2022,"0,9780"
01/01/2022,"0,9390"
01/12/2021,"0,5180"
01/11/2021,"0,3170"
01/10/2021,"0,5850"
01/09/2021,"0,2390"
01/08/2021,"0,1050"
01/07/2021,"0,0460"
01/06/2021,"0,0390"
01/05/2021,"0,0470"
01/04/2021,"0,0470"
01/03/2021,"0,0280"
01/02/2021,"0,0430"
01/01/2021,"-0,1310"
01/12/2020,"-0,1260"
01/11/2020,"-0,0110"
01/10/2020,"-0,0120"
01/09/2020,"0,0320"
01/08/2020,"0,0150"
01/07/2020,"0,0320"
01/06/2020,"0,0310"
01/05/2020,"0,0480"
01/04/2020,"0,0720"
01/03/2020,"0,1270"
01/02/2020,"0,4980"
01/01/2020,"0,6160"
01/12/2019,"0,5880"
01/11/2019,"0,6750"
01/10/2019,"0,6370"
01/09/2019,"0,4600"
01/08/2019,"0,4550"
01/07/2019,"0,5030"
01/06/2019,"0,6880"
01/05/2019,"0,6630"
01/04/2019,"0,7610"
01/03/2019,"0,6470"
01/02/2019,"0,8190"
01/01/2019,"0,7710"
01/12/2018,"0,7570"
01/11/2018,"0,7750"
01/10/2018,"0,7640"
01/09/2018,"0,8000"
01/08/2018,"0,7200"
01/07/2018,"0,7240"
01/06/2018,"0,6730"
01/05/2018,"0,5170"
01/04/2018,"0,6880"
01/03/2018,"0,7320"
01/02/2018,"0,6860"
01/01/2018,"0,4420"
01/12/2017,"0,3550"
01/11/2017,"0,4700"
01/10/2017,"0,4470"
01/09/2017,"0,3980"
01/08/2017,"0,1610"
01/07/2017,"0,2980"
01/06/2017,"0,3330"
01/05/2017,"0,1610"
01/04/2017,"0,0600"
01/03/2017,"0,1320"
01/02/2017,"0,0930"
01/01/2017,"0,0550"
01/12/2016,"0,0720"
01/11/2016,"0,1330"
01/10/2016,"0,2170"
01/09/2016,"0,1540"
01/08/2016,"0,1520"
01/07/2016,"0,0980"
01/06/2016,"0,1480"
01/05/2016,"0,4030"
01/04/2016,"0,4710"
01/03/2016,"0,4000"
01/02/2016,"0,3250"
01/01/2016,"0,3770"
01/12/2015,"0,2820"
01/11/2015,"0,4930"
01/10/2015,"0,5290"
01/09/2015,"0,5070"
01/08/2015,"0,5020"
01/07/2015,"0,5260"
01/06/2015,"0,5050"
01/05/2015,"0,4800"
01/04/2015,"0,4470"
01/03/2015,"0,3940"
01/02/2015,"0,3360"
01/01/2015,"0,3010"
01/12/2014,"0,3080"
01/11/2014,"0,4030"
01/10/2014,"0,4290"
01/09/2014,"0,5510"
01/08/2014,"0,5560"
01/07/2014,"0,4560"
01/06/2014,"0,5140"
01/05/2014,"0,3850"
01/04/2014,"0,3910"
01/03/2014,"0,4460"
01/02/2014,"0,3570"
01/01/2014,"0,3870"
