Date,Close
01/01/2010,0.28600001
01/02/2010,0.294
01/03/2010,0.398
01/04/2010,0.38100001
03/05/2010,0.34400001
01/06/2010,0.273
01/07/2010,0.29100001
02/08/2010,0.245
01/09/2010,0.25099999
01/10/2010,0.219
01/11/2010,0.26899999
01/12/2010,0.27200001
03/01/2011,0.241
01/02/2011,0.23800001
01/03/2011,0.271
01/04/2011,0.197
02/05/2011,0.162
01/06/2011,0.189
01/07/2011,0.205
01/08/2011,0.091
01/09/2011,0.103
03/10/2011,0.121
01/11/2011,0.113
01/12/2011,0.106
02/01/2012,0.116
01/02/2012,0.161
01/03/2012,0.17200001
02/04/2012,0.169
01/05/2012,0.177
01/06/2012,0.207
02/07/2012,0.169
01/08/2012,0.17200001
03/09/2012,0.161
01/10/2012,0.1736
01/11/2012,0.168
03/12/2012,0.1408
01/01/2013,0.13500001
01/02/2013,0.153
01/03/2013,0.126
01/04/2013,0.103
01/05/2013,0.12899999
03/06/2013,0.15099999
01/07/2013,0.111
01/08/2013,0.121
02/09/2013,0.0903
01/10/2013,0.101
01/11/2013,0.1203
02/12/2013,0.117
01/01/2014,0.094
03/02/2014,0.101
03/03/2014,0.1163
01/04/2014,0.093
01/05/2014,0.076
02/06/2014,0.112
01/07/2014,0.117
01/08/2014,0.091
01/09/2014,0.107
01/10/2014,0.09
03/11/2014,0.12
01/12/2014,0.2188
01/01/2015,0.1454
02/02/2015,0.2
02/03/2015,0.251
01/04/2015,0.23
01/05/2015,0.25
01/06/2015,0.2675
01/07/2015,0.32
03/08/2015,0.39
01/09/2015,0.3099
01/10/2015,0.3201
02/11/2015,0.4845
01/12/2015,0.6186
01/01/2016,0.4465
01/02/2016,0.6029
01/03/2016,0.5855
01/04/2016,0.5599
02/05/2016,0.6802
01/06/2016,0.4476
01/07/2016,0.4986
01/08/2016,0.5906
01/09/2016,0.6008
03/10/2016,0.6529
01/11/2016,0.783
01/12/2016,0.8208
02/01/2017,0.7696
01/02/2017,0.8465
01/03/2017,1.0267
03/04/2017,1.073
01/05/2017,1.1554
01/06/2017,1.2301
03/07/2017,1.2223
01/08/2017,1.2248
01/09/2017,1.2996
02/10/2017,1.4313
01/11/2017,1.6202
01/12/2017,1.7368
01/01/2018,1.9179
01/02/2018,2.0643
01/03/2018,2.0979
02/04/2018,2.2391
01/05/2018,2.2362
01/06/2018,2.325
02/07/2018,2.4165
01/08/2018,2.4604
03/09/2018,2.5709
01/10/2018,2.6651
01/11/2018,2.6856
03/12/2018,2.591
01/01/2019,2.55209994
01/02/2019,2.54419994
01/03/2019,2.40050006
01/04/2019,2.38190007
01/05/2019,2.2105
03/06/2019,1.94079995
01/07/2019,1.99810004
01/08/2019,1.77320004
02/09/2019,1.76540005
01/10/2019,1.52069998
01/11/2019,1.59850001
02/12/2019,1.579
01/01/2020,1.44879997
03/02/2020,1.017
02/03/2020,0.175
01/04/2020,0.173
01/05/2020,0.175
01/06/2020,0.16
01/07/2020,0.119
03/08/2020,0.124
01/09/2020,0.122
01/10/2020,0.127
02/11/2020,0.112
01/12/2020,0.112
01/01/2021,0.084
01/02/2021,0.076
01/03/2021,0.0609
01/04/2021,0.0558
03/05/2021,0.040567
01/06/2021,0.071
01/07/2021,0.066
02/08/2021,0.071
01/09/2021,0.079
01/10/2021,0.127
01/11/2021,0.226
01/12/2021,0.389
03/01/2022,0.785
01/02/2022,1.001
01/03/2022,1.618
01/04/2022,2.092
02/05/2022,2.068
01/06/2022,2.806
01/07/2022,2.974
01/08/2022,3.528
01/09/2022,4.029
03/10/2022,4.675
01/11/2022,4.732
01/12/2022,4.722
02/01/2023,4.689
01/02/2023,5.029001
01/03/2023,4.629
03/04/2023,4.77
01/05/2023,5.186
01/06/2023,5.425
03/07/2023,5.394001
01/08/2023,5.397999
01/09/2023,5.47
02/10/2023,5.469
01/11/2023,5.15
01/12/2023,4.784
01/01/2024,4.729
01/02/2024,5.009
01/03/2024,5.034659
01/04/2024,5.249
01/05/2024,5.189
03/06/2024,5.128999
01/07/2024,4.758
01/08/2024,4.413
02/09/2024,4.017999
01/10/2024,4.277
01/11/2024,4.402001
