date -> 2022-08-26 00:00:00 weakest-> ['SEKUSD', 'JPYUSD'] strongest-> ['SGDUSD', 'CADUSD']
date -> 2022-08-29 00:00:00 weakest-> ['SEKUSD', 'JPYUSD'] strongest-> ['SGDUSD', 'CHFUSD']
date -> 2022-08-30 00:00:00 weakest-> ['JPYUSD', 'SEKUSD'] strongest-> ['BRLUSD', 'CHFUSD']
date -> 2022-08-31 00:00:00 weakest-> ['SEKUSD', 'JPYUSD'] strongest-> ['BRLUSD', 'CHFUSD']
date -> 2022-09-01 00:00:00 weakest-> ['GBPUSD', 'SEKUSD'] strongest-> ['BRLUSD', 'CHFUSD']
date -> 2022-09-02 00:00:00 weakest-> ['GBPUSD', 'SEKUSD'] strongest-> ['SGDUSD', 'CHFUSD']
date -> 2022-09-05 00:00:00 weakest-> ['GBPUSD', 'SEKUSD'] strongest-> ['SGDUSD', 'CHFUSD']
date -> 2022-09-06 00:00:00 weakest-> ['GBPUSD', 'SEKUSD'] strongest-> ['SGDUSD', 'INRUSD']
date -> 2022-09-07 00:00:00 weakest-> ['JPYUSD', 'SEKUSD'] strongest-> ['CHFUSD', 'SGDUSD']
date -> 2022-09-08 00:00:00 weakest-> ['SEKUSD', 'JPYUSD'] strongest-> ['INRUSD', 'SGDUSD']
date -> 2022-09-09 00:00:00 weakest-> ['GBPUSD', 'JPYUSD'] strongest-> ['INRUSD', 'SGDUSD']
date -> 2022-09-12 00:00:00 weakest-> ['GBPUSD', 'JPYUSD'] strongest-> ['CHFUSD', 'INRUSD']
date -> 2022-09-13 00:00:00 weakest-> ['GBPUSD', 'JPYUSD'] strongest-> ['CHFUSD', 'SGDUSD']
date -> 2022-09-14 00:00:00 weakest-> ['GBPUSD', 'JPYUSD'] strongest-> ['CHFUSD', 'SGDUSD']
date -> 2022-09-15 00:00:00 weakest-> ['GBPUSD', 'JPYUSD'] strongest-> ['CHFUSD', 'SGDUSD']
date -> 2022-09-16 00:00:00 weakest-> ['GBPUSD', 'JPYUSD'] strongest-> ['CHFUSD', 'INRUSD']
date -> 2022-09-19 00:00:00 weakest-> ['NZDUSD', 'JPYUSD'] strongest-> ['CHFUSD', 'SGDUSD']
date -> 2022-09-20 00:00:00 weakest-> ['GBPUSD', 'JPYUSD'] strongest-> ['CHFUSD', 'SGDUSD']
date -> 2022-09-21 00:00:00 weakest-> ['NOKUSD', 'JPYUSD'] strongest-> ['CHFUSD', 'SGDUSD']
date -> 2022-09-22 00:00:00 weakest-> ['NZDUSD', 'NOKUSD'] strongest-> ['CHFUSD', 'INRUSD']
date -> 2022-09-23 00:00:00 weakest-> ['SEKUSD', 'NZDUSD'] strongest-> ['CHFUSD', 'INRUSD']
date -> 2022-09-26 00:00:00 weakest-> ['SEKUSD', 'NOKUSD'] strongest-> ['BRLUSD', 'CHFUSD']
date -> 2022-09-27 00:00:00 weakest-> ['NOKUSD', 'GBPUSD'] strongest-> ['CHFUSD', 'SGDUSD']
date -> 2022-09-28 00:00:00 weakest-> ['NOKUSD', 'GBPUSD'] strongest-> ['SGDUSD', 'CHFUSD']
date -> 2022-09-29 00:00:00 weakest-> ['NZDUSD', 'GBPUSD'] strongest-> ['CHFUSD', 'SGDUSD']
date -> 2022-09-30 00:00:00 weakest-> ['NOKUSD', 'GBPUSD'] strongest-> ['CHFUSD', 'SGDUSD']
date -> 2022-10-03 00:00:00 weakest-> ['NZDUSD', 'NOKUSD'] strongest-> ['CHFUSD', 'SGDUSD']
date -> 2022-10-04 00:00:00 weakest-> ['NZDUSD', 'NOKUSD'] strongest-> ['CHFUSD', 'SGDUSD']
date -> 2022-10-05 00:00:00 weakest-> ['NOKUSD', 'NZDUSD'] strongest-> ['BRLUSD', 'CHFUSD']
date -> 2022-10-06 00:00:00 weakest-> ['NOKUSD', 'NZDUSD'] strongest-> ['CHFUSD', 'BRLUSD']
date -> 2022-10-07 00:00:00 weakest-> ['NOKUSD', 'NZDUSD'] strongest-> ['CHFUSD', 'BRLUSD']
date -> 2022-10-10 00:00:00 weakest-> ['NOKUSD', 'NZDUSD'] strongest-> ['BRLUSD', 'CHFUSD']
date -> 2022-10-11 00:00:00 weakest-> ['NOKUSD', 'NZDUSD'] strongest-> ['BRLUSD', 'SGDUSD']
date -> 2022-10-12 00:00:00 weakest-> ['SEKUSD', 'NZDUSD'] strongest-> ['BRLUSD', 'SGDUSD']
date -> 2022-10-13 00:00:00 weakest-> ['SEKUSD', 'NZDUSD'] strongest-> ['BRLUSD', 'CHFUSD']
date -> 2022-10-14 00:00:00 weakest-> ['SEKUSD', 'NZDUSD'] strongest-> ['BRLUSD', 'SGDUSD']
date -> 2022-10-17 00:00:00 weakest-> ['SEKUSD', 'NZDUSD'] strongest-> ['BRLUSD', 'SGDUSD']
date -> 2022-10-18 00:00:00 weakest-> ['AUDUSD', 'NZDUSD'] strongest-> ['SGDUSD', 'BRLUSD']
date -> 2022-10-19 00:00:00 weakest-> ['NZDUSD', 'AUDUSD'] strongest-> ['SGDUSD', 'BRLUSD']
date -> 2022-10-20 00:00:00 weakest-> ['JPYUSD', 'AUDUSD'] strongest-> ['SGDUSD', 'BRLUSD']
date -> 2022-10-21 00:00:00 weakest-> ['AUDUSD', 'JPYUSD'] strongest-> ['SGDUSD', 'BRLUSD']
date -> 2022-10-24 00:00:00 weakest-> ['AUDUSD', 'JPYUSD'] strongest-> ['BRLUSD', 'SGDUSD']
date -> 2022-10-25 00:00:00 weakest-> ['AUDUSD', 'JPYUSD'] strongest-> ['BRLUSD', 'SGDUSD']
date -> 2022-10-26 00:00:00 weakest-> ['AUDUSD', 'JPYUSD'] strongest-> ['BRLUSD', 'SGDUSD']
date -> 2022-10-27 00:00:00 weakest-> ['AUDUSD', 'JPYUSD'] strongest-> ['BRLUSD', 'SGDUSD']
date -> 2022-10-28 00:00:00 weakest-> ['AUDUSD', 'JPYUSD'] strongest-> ['SGDUSD', 'EURUSD']
