DATE,NFCI
1976-01-09,-0.50672
1976-01-16,-0.57811
1976-01-23,-0.64117
1976-01-30,-0.69448
1976-02-06,-0.73735
1976-02-13,-0.76977
1976-02-20,-0.79403
1976-02-27,-0.81164
1976-03-05,-0.82412
1976-03-12,-0.83195
1976-03-19,-0.83555
1976-03-26,-0.83431
1976-04-02,-0.82729
1976-04-09,-0.81352
1976-04-16,-0.79242
1976-04-23,-0.76487
1976-04-30,-0.73172
1976-05-07,-0.69524
1976-05-14,-0.65872
1976-05-21,-0.62614
1976-05-28,-0.60088
1976-06-04,-0.58619
1976-06-11,-0.58386
1976-06-18,-0.59361
1976-06-25,-0.61428
1976-07-02,-0.64271
1976-07-09,-0.67570
1976-07-16,-0.70992
1976-07-23,-0.74294
1976-07-30,-0.77234
1976-08-06,-0.79727
1976-08-13,-0.81744
1976-08-20,-0.83296
1976-08-27,-0.84414
1976-09-03,-0.85175
1976-09-10,-0.85652
1976-09-17,-0.85880
1976-09-24,-0.85908
1976-10-01,-0.85689
1976-10-08,-0.85267
1976-10-15,-0.84591
1976-10-22,-0.83622
1976-10-29,-0.82339
1976-11-05,-0.80826
1976-11-12,-0.79130
1976-11-19,-0.77388
1976-11-26,-0.75865
1976-12-03,-0.74761
1976-12-10,-0.74374
1976-12-17,-0.74792
1976-12-24,-0.76116
1976-12-31,-0.78245
1977-01-07,-0.81019
1977-01-14,-0.84054
1977-01-21,-0.87101
1977-01-28,-0.89883
1977-02-04,-0.92159
1977-02-11,-0.93749
1977-02-18,-0.94577
1977-02-25,-0.94594
1977-03-04,-0.93782
1977-03-11,-0.92252
1977-03-18,-0.90106
1977-03-25,-0.87509
1977-04-01,-0.84565
1977-04-08,-0.81382
1977-04-15,-0.77949
1977-04-22,-0.74349
1977-04-29,-0.70619
1977-05-06,-0.66944
1977-05-13,-0.63496
1977-05-20,-0.60545
1977-05-27,-0.58201
1977-06-03,-0.56570
1977-06-10,-0.55659
1977-06-17,-0.55316
1977-06-24,-0.55439
1977-07-01,-0.55850
1977-07-08,-0.56348
1977-07-15,-0.56674
1977-07-22,-0.56626
1977-07-29,-0.56043
1977-08-05,-0.54891
1977-08-12,-0.53235
1977-08-19,-0.51189
1977-08-26,-0.48890
1977-09-02,-0.46407
1977-09-09,-0.43755
1977-09-16,-0.40893
1977-09-23,-0.37894
1977-09-30,-0.34769
1977-10-07,-0.31679
1977-10-14,-0.28729
1977-10-21,-0.26029
1977-10-28,-0.23677
1977-11-04,-0.21686
1977-11-11,-0.20103
1977-11-18,-0.18943
1977-11-25,-0.18238
1977-12-02,-0.17994
1977-12-09,-0.18237
1977-12-16,-0.18911
1977-12-23,-0.19944
1977-12-30,-0.21157
1978-01-06,-0.22424
1978-01-13,-0.23526
1978-01-20,-0.24306
1978-01-27,-0.24668
1978-02-03,-0.24493
1978-02-10,-0.23739
1978-02-17,-0.22297
1978-02-24,-0.20120
1978-03-03,-0.17216
1978-03-10,-0.13594
1978-03-17,-0.09315
1978-03-24,-0.04436
1978-03-31,0.00953
1978-04-07,0.06806
1978-04-14,0.13043
1978-04-21,0.19484
1978-04-28,0.25931
1978-05-05,0.32150
1978-05-12,0.37919
1978-05-19,0.43094
1978-05-26,0.47576
1978-06-02,0.51330
1978-06-09,0.54287
1978-06-16,0.56432
1978-06-23,0.57675
1978-06-30,0.58049
1978-07-07,0.57606
1978-07-14,0.56429
1978-07-21,0.54672
1978-07-28,0.52516
1978-08-04,0.50150
1978-08-11,0.47912
1978-08-18,0.46411
1978-08-25,0.46289
1978-09-01,0.48202
1978-09-08,0.52824
1978-09-15,0.60529
1978-09-22,0.71362
1978-09-29,0.85163
1978-10-06,1.01251
1978-10-13,1.18897
1978-10-20,1.37003
1978-10-27,1.54437
1978-11-03,1.69842
1978-11-10,1.82378
1978-11-17,1.91327
1978-11-24,1.96092
1978-12-01,1.96990
1978-12-08,1.94258
1978-12-15,1.88304
1978-12-22,1.79696
1978-12-29,1.68891
1979-01-05,1.56380
1979-01-12,1.42744
1979-01-19,1.28537
1979-01-26,1.14339
1979-02-02,1.00623
1979-02-09,0.87754
1979-02-16,0.75862
1979-02-23,0.65066
1979-03-02,0.55566
1979-03-09,0.47385
1979-03-16,0.40734
1979-03-23,0.35722
1979-03-30,0.32419
1979-04-06,0.30760
1979-04-13,0.30567
1979-04-20,0.31635
1979-04-27,0.33730
1979-05-04,0.36704
1979-05-11,0.40464
1979-05-18,0.45036
1979-05-25,0.50426
1979-06-01,0.56574
1979-06-08,0.63260
1979-06-15,0.70299
1979-06-22,0.77449
1979-06-29,0.84627
1979-07-06,0.91759
1979-07-13,0.98983
1979-07-20,1.06492
1979-07-27,1.14341
1979-08-03,1.22639
1979-08-10,1.31453
1979-08-17,1.40942
1979-08-24,1.51149
1979-08-31,1.62097
1979-09-07,1.73650
1979-09-14,1.85608
1979-09-21,1.97590
1979-09-28,2.09144
1979-10-05,2.19900
1979-10-12,2.29548
1979-10-19,2.37602
1979-10-26,2.43595
1979-11-02,2.47146
1979-11-09,2.47610
1979-11-16,2.44963
1979-11-23,2.39355
1979-11-30,2.31424
1979-12-07,2.21947
1979-12-14,2.11780
1979-12-21,2.01858
1979-12-28,1.92624
1980-01-04,1.84729
1980-01-11,1.78987
1980-01-18,1.76072
1980-01-25,1.77070
1980-02-01,1.82955
1980-02-08,1.94230
1980-02-15,2.11147
1980-02-22,2.33270
1980-02-29,2.59498
1980-03-07,2.87995
1980-03-14,3.17067
1980-03-21,3.44285
1980-03-28,3.67224
1980-04-04,3.84351
1980-04-11,3.93666
1980-04-18,3.94393
1980-04-25,3.86561
1980-05-02,3.70849
1980-05-09,3.48762
1980-05-16,3.22433
1980-05-23,2.93521
1980-05-30,2.63321
1980-06-06,2.33047
1980-06-13,2.03236
1980-06-20,1.74294
1980-06-27,1.47316
1980-07-04,1.23603
1980-07-11,1.04007
1980-07-18,0.89708
1980-07-25,0.80560
1980-08-01,0.76255
1980-08-08,0.76191
1980-08-15,0.79148
1980-08-22,0.84085
1980-08-29,0.90746
1980-09-05,0.98514
1980-09-12,1.06552
1980-09-19,1.15202
1980-09-26,1.24352
1980-10-03,1.34414
1980-10-10,1.45648
1980-10-17,1.59269
1980-10-24,1.75211
1980-10-31,1.93938
1980-11-07,2.14966
1980-11-14,2.37175
1980-11-21,2.59871
1980-11-28,2.81822
1980-12-05,3.00849
1980-12-12,3.15659
1980-12-19,3.25774
1980-12-26,3.29048
1981-01-02,3.26150
1981-01-09,3.17154
1981-01-16,3.03462
1981-01-23,2.86187
1981-01-30,2.67175
1981-02-06,2.47483
1981-02-13,2.28647
1981-02-20,2.11629
1981-02-27,1.96309
1981-03-06,1.83707
1981-03-13,1.74255
1981-03-20,1.68392
1981-03-27,1.66452
1981-04-03,1.68683
1981-04-10,1.74482
1981-04-17,1.83693
1981-04-24,1.94856
1981-05-01,2.07638
1981-05-08,2.21874
