open_time,Open,High,Low,Close,Volume,close_time,qav,num_trades,taker_base_vol,taker_quote_vol,ignore
1609459200000,737.39000000,750.29000000,717.00000000,730.92000000,249637.47423000,1609545599999,183815887.65625220,287462,124340.15473000,91550936.35682710,0
1609545600000,730.86000000,788.80000000,717.00000000,775.28000000,507281.21994000,1609631999999,384822973.50276510,499495,255246.00877000,193605898.41138870,0
1609632000000,775.33000000,1013.33000000,769.64000000,980.14000000,987567.47912000,1609718399999,888073389.71357350,983562,497625.22653000,447637996.65364730,0
1609718400000,979.58000000,1168.53000000,885.00000000,1042.23000000,1199991.32836000,1609804799999,1219258225.83371970,1162614,599098.57366000,608349711.48804880,0
1609804800000,1042.24000000,1136.04000000,975.51000000,1103.01000000,767030.22732000,1609891199999,811318377.95504350,866286,381949.96617000,403939962.12806840,0
1609891200000,1102.98000000,1216.36000000,1058.83000000,1211.47000000,677040.87254000,1609977599999,772414891.81978690,749300,342103.95458000,390423547.87490150,0
1609977600000,1211.71000000,1291.03000000,1139.83000000,1225.91000000,494679.99882000,1610063999999,603905860.46423370,658057,247412.01559000,302194682.01459430,0
1610064000000,1226.20000000,1274.71000000,1066.90000000,1217.89000000,671575.16955000,1610150399999,802699801.78077130,786860,334806.63975000,400238479.93522440,0
1610150400000,1217.89000000,1308.07000000,1173.07000000,1280.39000000,412858.84957000,1610236799999,506479313.17331960,550223,206749.67517000,253653302.28136440,0
1610236800000,1280.76000000,1352.98000000,1164.28000000,1254.59000000,567177.75775000,1610323199999,732382833.16475290,661841,279159.24602000,360584281.53876220,0
1610323200000,1254.70000000,1260.00000000,911.04000000,1087.20000000,1145156.14379000,1610409599999,1204650554.38230710,1202701,572071.21492000,601548873.64636470,0
1610409600000,1087.15000000,1150.80000000,1006.40000000,1049.35000000,650816.28484000,1610495999999,702344406.07138450,752784,323918.89528000,349440526.29783710,0
1610496000000,1049.45000000,1137.60000000,986.67000000,1129.88000000,532073.46472000,1610582399999,564216733.04661620,564830,270289.69623000,286761280.85866340,0
1610582400000,1129.98000000,1248.03000000,1086.83000000,1230.35000000,474561.62629000,1610668799999,557647800.95092330,578101,236774.98822000,278160962.08252040,0
1610668800000,1230.52000000,1255.07000000,1067.57000000,1168.37000000,648235.46239000,1610755199999,764513029.87466700,934210,320796.34808000,378564945.32235570,0
1610755200000,1168.20000000,1292.30000000,1151.60000000,1227.88000000,505080.92285000,1610841599999,616673413.67128240,857996,251382.96856000,306972235.13894160,0
1610841600000,1227.81000000,1269.00000000,1166.04000000,1232.24000000,406557.92500000,1610927999999,495650192.14250550,725549,207928.23801000,253615934.78720210,0
1610928000000,1232.21000000,1261.17000000,1182.61000000,1258.89000000,303279.59146000,1611014399999,371534226.56601870,523378,153943.20786000,188685397.34394860,0
1611014400000,1258.82000000,1440.00000000,1252.00000000,1367.07000000,604488.46518000,1611100799999,830655922.54673130,884680,304151.12474000,417857080.83778340,0
1611100800000,1367.32000000,1408.67000000,1235.71000000,1377.58000000,670070.82137000,1611187199999,884592976.71317140,992479,329853.77810000,435396149.02934410,0
1611187200000,1377.56000000,1389.52000000,1084.18000000,1110.60000000,763755.25423000,1611273599999,942914645.16485430,986413,378496.84736000,467572270.05290190,0
1611273600000,1110.42000000,1276.23000000,1041.42000000,1234.00000000,695671.77686000,1611359999999,813250174.90601140,928798,351596.84248000,410886919.87215100,0
1611360000000,1233.86000000,1273.49000000,1197.45000000,1234.53000000,312727.55855000,1611446399999,387786619.97186390,538008,156714.22048000,194381634.46987020,0
1611446400000,1234.53000000,1400.15000000,1220.93000000,1393.92000000,371741.22256000,1611532799999,492216390.57138830,670786,187407.52044000,248044379.98348460,0
1611532800000,1393.92000000,1476.61000000,1294.16000000,1317.77000000,525169.04685000,1611619199999,735513526.46054330,994616,256031.07673000,358822385.34457930,0
1611619200000,1317.77000000,1378.87000000,1207.00000000,1367.00000000,549517.39817000,1611705599999,724512414.40584040,937438,270325.12687000,356728623.03782780,0
1611705600000,1367.14000000,1375.00000000,1207.70000000,1240.98000000,629599.91991000,1611791999999,801618826.78229940,993288,307104.76609000,391221341.46016910,0
1611792000000,1241.17000000,1362.93000000,1219.11000000,1332.63000000,439304.69507000,1611878399999,576238516.96943350,699347,225373.67461000,295671101.62030130,0
1611878400000,1332.64000000,1440.00000000,1287.47000000,1380.30000000,682231.85721000,1611964799999,931563813.25884430,1045797,343243.13166000,469064140.82942000,0
1611964800000,1380.28000000,1406.87000000,1326.69000000,1379.79000000,299469.47350000,1612051199999,407108353.25804060,579120,148352.61334000,201668101.42781080,0
1612051200000,1379.76000000,1381.90000000,1282.09000000,1313.69000000,250298.02028000,1612137599999,333011846.78579090,454153,120944.36474000,160995812.88834640,0
1612137600000,1313.67000000,1377.55000000,1270.89000000,1374.72000000,252968.47520000,1612223999999,334618025.24538600,496748,129642.27634000,171619920.39194620,0
1612224000000,1374.71000000,1549.17000000,1361.74000000,1513.29000000,437807.55349000,1612310399999,635809747.75792650,818046,224918.89012000,326720710.10176150,0
1612310400000,1513.32000000,1671.22000000,1508.90000000,1666.43000000,349239.48354000,1612396799999,550076879.81025890,728528,175842.94202000,276880805.23520020,0
1612396800000,1666.49000000,1697.99000000,1556.63000000,1597.02000000,421309.11520000,1612483199999,689810522.04144610,815461,210286.05233000,344431918.40204840,0
