open_time,Open,High,Low,Close,Volume,close_time,qav,num_trades,taker_base_vol,taker_quote_vol,ignore
1609459200000,0.21995000,0.25073000,0.21612000,0.23808000,130904360.90000000,1609545599999,30963991.60556900,148690,66159196.30000000,15666918.20939500,0
1609545600000,0.23810000,0.23906000,0.21108000,0.22094000,89268363.30000000,1609631999999,20307940.06587100,108193,40573162.70000000,9242302.73177000,0
1609632000000,0.22101000,0.23868000,0.21512000,0.22573000,93253894.20000000,1609718399999,20944242.06522200,105943,46410093.20000000,10450652.69072000,0
1609718400000,0.22582000,0.26284000,0.21733000,0.23575000,121967424.70000000,1609804799999,28747940.95461000,144033,62292665.90000000,14722343.41037800,0
1609804800000,0.23576000,0.24285000,0.21797000,0.22639000,78116335.90000000,1609891199999,17932129.22380000,109532,39177377.50000000,9004758.42377100,0
1609891200000,0.22639000,0.27443000,0.22170000,0.24923000,158541941.20000000,1609977599999,38684065.98430900,143749,82826175.50000000,20241257.19966600,0
1609977600000,0.24925000,0.37098000,0.24581000,0.32417000,294060592.10000000,1610063999999,92009378.63451300,271473,148803220.40000000,46500025.72555800,0
1610064000000,0.32403000,0.34681000,0.28495000,0.32077000,167905731.30000000,1610150399999,53223522.94921600,192892,83384014.60000000,26457735.91795200,0
1610150400000,0.32053000,0.34041000,0.30576000,0.32571000,75279069.10000000,1610236799999,24199211.96673000,57022,38883899.20000000,12523471.81952500,0
1610236800000,0.32560000,0.36900000,0.28666000,0.31491000,108708156.50000000,1610323199999,35853882.95384800,82201,53564642.60000000,17696620.93748400,0
1610323200000,0.31488000,0.31658000,0.25333000,0.28761000,155782227.40000000,1610409599999,43456167.47346700,102211,81441173.60000000,22737738.40653900,0
1610409600000,0.28723000,0.30999000,0.27718000,0.29242000,68474527.90000000,1610495999999,20115054.75805200,47951,35321529.80000000,10390663.38291700,0
1610496000000,0.29210000,0.30990000,0.28456000,0.30589000,39579196.90000000,1610582399999,11786054.29805400,27610,19737049.20000000,5890600.90086800,0
1610582400000,0.30596000,0.30891000,0.28280000,0.29653000,41497787.10000000,1610668799999,12263600.52289100,26687,19947255.00000000,5901033.20135300,0
1610668800000,0.29631000,0.30300000,0.26163000,0.27991000,50122099.30000000,1610755199999,14154589.32569900,29994,23925510.30000000,6793642.20312500,0
1610755200000,0.27985000,0.29653000,0.27500000,0.27934000,36032550.10000000,1610841599999,10283549.87257800,24554,18330574.60000000,5238611.71358600,0
1610841600000,0.27913000,0.28573000,0.26843000,0.27749000,23711429.80000000,1610927999999,6560175.54192100,18027,11374419.70000000,3151192.49466700,0
1610928000000,0.27749000,0.28866000,0.27152000,0.28528000,26341985.80000000,1611014399999,7417139.42719800,18525,14728853.70000000,4151133.53904900,0
1611014400000,0.28559000,0.32959000,0.28415000,0.29411000,70327724.50000000,1611100799999,21458117.29964900,48557,36112312.30000000,11022292.86196600,0
1611100800000,0.29415000,0.31180000,0.28001000,0.29562000,53283701.70000000,1611187199999,15534611.84739300,41041,26612553.40000000,7768198.08961500,0
1611187200000,0.29567000,0.30928000,0.25948000,0.26774000,62702941.90000000,1611273599999,17744501.98499400,51111,29727503.40000000,8430018.96665500,0
1611273600000,0.26743000,0.27837000,0.24008000,0.27230000,51234324.60000000,1611359999999,13553260.04461200,36362,25216018.10000000,6692009.83193500,0
1611360000000,0.27231000,0.28360000,0.26575000,0.27167000,27151442.70000000,1611446399999,7429209.52680500,18175,13433018.70000000,3683539.36366700,0
1611446400000,0.27174000,0.27797000,0.26822000,0.27344000,17458292.50000000,1611532799999,4774364.86583500,13172,9281128.70000000,2540317.91700900,0
1611532800000,0.27376000,0.28515000,0.26690000,0.26752000,27924839.90000000,1611619199999,7710940.92557700,18990,13182188.10000000,3650823.50493800,0
1611619200000,0.26738000,0.27108000,0.25809000,0.26879000,21491811.60000000,1611705599999,5709972.71690300,15268,10428886.70000000,2775097.68967000,0
1611705600000,0.26842000,0.26906000,0.24389000,0.25084000,28153229.10000000,1611791999999,7179008.66164900,20806,12514078.90000000,3186593.02829000,0
1611792000000,0.25087000,0.27082000,0.24733000,0.26496000,32228926.00000000,1611878399999,8374792.91394600,19117,17461720.10000000,4544307.65448600,0
1611878400000,0.26496000,0.31761000,0.26026000,0.28284000,139759483.90000000,1611964799999,39903041.42841900,85395,70828778.80000000,20260580.55843000,0
1611964800000,0.28310000,0.52000000,0.27756000,0.44368000,407610503.40000000,1612051199999,157990703.33801900,297140,206454569.90000000,79827327.89769900,0
1612051200000,0.44468000,0.50968000,0.38755000,0.49589000,282692604.70000000,1612137599999,129921427.74419100,298233,140958055.30000000,64860690.27995600,0
1612137600000,0.49588000,0.75540000,0.35900000,0.37100000,554152540.00000000,1612223999999,293880619.45560400,469799,267160926.30000000,142910325.51445000,0
1612224000000,0.37101000,0.41145000,0.34021000,0.37280000,149781373.30000000,1612310399999,56123020.54208300,127872,74946663.20000000,28108441.83286500,0
1612310400000,0.37297000,0.41917000,0.37297000,0.39798000,73283201.00000000,1612396799999,28569514.33168800,65951,37159043.70000000,14496196.09980500,0
1612396800000,0.39797000,0.48173000,0.38000000,0.44555000,122829452.30000000,1612483199999,52102339.92650100,111826,63386447.70000000,26968080.07926300,0
1612483200000,0.44625000,0.47250000,0.42450000,0.45209000,77075520.50000000,1612569599999,34405453.43408400,79060,38748792.80000000,17315402.68778400,0
1612569600000,0.45279000,0.45732000,0.42700000,0.44376000,46755910.40000000,1612655999999,20637430.14098700,46563,22150475.40000000,9784126.67488200,0
1612656000000,0.44397000,0.45132000,0.39096000,0.41901000,52785612.60000000,1612742399999,22334940.41949600,57982,26271025.10000000,11105316.11210100,0
1612742400000,0.41943000,0.47000000,0.41312000,0.45150000,58665722.80000000,1612828799999,25958487.71616000,67091,29008086.70000000,12829195.70521100,0
1612828800000,0.45183000,0.49099000,0.44904000,0.47722000,65860008.80000000,1612915199999,30787057.19897000,81157,31710970.80000000,14827369.06271000,0
1612915200000,0.47714000,0.54246000,0.44890000,0.50466000,118237822.00000000,1613001599999,59180716.71076600,136693,59281460.40000000,29654794.66121600,0
