Start Date	End Date	Asset	Entry Price	Exit Price
2016-02-19	2016-04-22	SPY	192.0	208.97000122070312
2016-04-22	2016-07-15	SH	40.099998474121094	38.439998626708984
2016-07-15	2016-08-19	SPY	215.8300018310547	218.5399932861328
2016-08-19	2016-10-07	SH	37.939998626708984	38.290000915527344
2016-10-07	2017-02-17	SPY	215.0399932861328	235.08999633789062
2017-02-17	2017-04-07	SH	34.7599983215332	34.58000183105469
2017-04-07	2017-08-04	SPY	235.1999969482422	247.41000366210938
2017-08-04	2017-09-15	SH	32.779998779296875	32.38999938964844
2017-09-15	2017-12-08	SPY	249.19000244140625	265.510009765625
2017-12-08	2017-12-22	SH	30.489999771118164	30.1299991607666
2017-12-22	2018-01-19	SPY	267.510009765625	280.4100036621094
2018-01-19	2018-04-13	SH	28.760000228881836	30.100000381469727
2018-04-13	2018-06-01	SPY	265.1499938964844	273.6000061035156
2018-06-01	2018-07-13	SH	29.219999313354492	28.459999084472656
2018-07-13	2018-09-28	SPY	279.5899963378906	290.7200012207031
2018-09-28	2019-01-04	SH	27.31999969482422	31.010000228881836
2019-01-04	2019-05-03	SPY	252.38999938964844	294.0299987792969
2019-05-03	2019-06-28	SH	26.670000076293945	26.610000610351562
2019-06-28	2019-08-02	SPY	293.0	292.6199951171875
2019-08-02	2019-10-18	SH	26.709999084472656	26.049999237060547
2019-10-18	2019-11-29	SPY	297.9700012207031	314.30999755859375
2019-11-29	2019-12-27	SH	24.75	23.93000030517578
2019-12-27	2020-02-14	SPY	322.8599853515625	337.6000061035156
2020-02-14	2020-04-17	SH	22.90999984741211	24.56999969482422
2020-04-17	2020-09-04	SPY	286.6400146484375	342.57000732421875
2020-09-04	2020-10-23	SH	20.030000686645508	19.649999618530273
2020-10-23	2021-06-18	SPY	345.7799987792969	414.9200134277344
2021-06-18	2021-09-03	SH	15.880000114440918	14.510000228881836
2021-09-03	2021-10-15	SPY	453.0799865722656	445.8699951171875
2021-10-15	2021-12-24	SH	14.640000343322754	13.739999771118164
2021-12-24	2022-01-21	SPY	470.6000061035156	437.9800109863281
2022-01-21	2022-04-01	SH	14.729999542236328	14.050000190734863
2022-04-01	2022-04-15	SPY	452.9200134277344	437.7900085449219
2022-04-15	2022-07-15	SH	14.520000457763672	16.149999618530273
2022-07-15	2022-08-26	SPY	385.1300048828125	405.30999755859375
2022-08-26	2022-10-21	SH	15.3100004196167	16.440000534057617
2022-10-21	2022-12-09	SPY	374.2900085449219	393.2799987792969
2022-12-09	2022-12-16	SH	15.670000076293945	16.010000228881836
2022-12-16	2023-02-17	SPY	383.2699890136719	407.260009765625
2023-02-17	2023-04-07	SH	15.15999984741211	15.029999732971191
2023-04-07	2023-09-22	SPY	409.19000244140625	430.4200134277344
2023-09-22	2023-10-27	SH	14.350000381469727	15.140000343322754
2023-10-27	2024-01-26	SPY	410.67999267578125	487.4100036621094
2024-01-26	2024-03-01	SH	12.739999771118164	12.1899995803833
2024-03-01	2024-03-29	SPY	512.8499755859375	523.0700073242188
2024-03-29	2024-04-26	SH	11.859999656677246	12.279999732971191
2024-04-26	2024-06-14	SPY	508.260009765625	542.780029296875
2024-06-14	2024-06-21	SH	11.640000343322754	11.59000015258789
