Entry_Date,Entry_Price,Exit_Date,Exit_Price,Return
2020-02-03,77.16500091552734,2020-02-04,79.7125015258789,-0.03301367951955726
2020-02-04,78.82749938964844,2020-02-18,78.83999633789062,0.00015853538852494145
2020-02-18,79.75,2020-02-19,80.90499877929688,-0.014482743314067398
2020-02-19,80.0,2020-02-21,79.65499877929688,-0.0043125152587890625
2020-02-21,78.26249694824219,2020-04-06,65.61750030517578,0.16157159733133736
2020-04-06,62.724998474121094,2020-07-23,96.99749755859375,0.5463929839490185
2020-07-23,92.84500122070312,2020-07-27,94.80999755859375,-0.021164266380045656
2020-07-27,93.70999908447266,2020-07-28,94.36750030517578,0.007016340061111687
2020-07-28,93.25250244140625,2020-07-29,95.04000091552734,-0.01916837004180387
2020-07-29,93.75,2020-09-08,113.94999694824219,0.21546663411458333
2020-09-08,112.81999969482422,2020-09-30,115.80999755859375,-0.026502374329528577
2020-09-30,113.79000091552734,2020-10-02,112.88999938964844,-0.007909319963421282
2020-10-02,113.0199966430664,2020-10-05,116.5,-0.030791041057309093
2020-10-05,113.91000366210938,2020-10-06,115.69999694824219,0.015714100856694377
2020-10-06,113.16000366210938,2020-10-07,115.08000183105469,-0.016967109462795175
2020-10-07,114.62000274658203,2020-10-22,117.44999694824219,0.024690229749139897
2020-10-22,115.75,2020-11-05,119.02999877929688,-0.028336922499325054
2020-11-05,117.94999694824219,2020-11-09,120.5,0.021619356657353567
2020-11-09,116.31999969482422,2020-11-11,119.48999786376953,-0.027252391482652016
2020-11-11,117.19000244140625,2020-11-23,117.18000030517578,-8.534973992742864e-05
2020-11-23,113.8499984741211,2020-11-27,116.58999633789062,-0.0240667360605398
2020-11-27,116.56999969482422,2021-01-06,127.72000122070312,0.09565069533386962
2021-01-06,126.5999984741211,2021-01-07,130.9199981689453,-0.034123220749542826
2021-01-07,128.36000061035156,2021-01-11,129.19000244140625,0.0064662030781242625
2021-01-11,128.97999572753906,2021-01-13,130.88999938964844,-0.014808526324842808
2021-01-13,128.75999450683594,2021-01-14,130.8000030517578,0.01584349667561977
2021-01-14,128.91000366210938,2021-01-20,132.02999877929688,-0.02420289371308553
2021-01-20,128.66000366210938,2021-01-29,135.8300018310547,0.0557282602585289
2021-01-29,131.9600067138672,2021-02-01,134.13999938964844,-0.016520101279686904
2021-02-01,133.75,2021-02-16,135.49000549316406,0.013009386864778037
2021-02-16,133.19000244140625,2021-03-16,125.56999969482422,0.057211521937874196
2021-03-16,125.69999694824219,2021-03-18,122.87999725341797,-0.022434365658619487
2021-03-18,120.52999877929688,2021-03-22,123.38999938964844,-0.02372853761982131
2021-03-22,120.33000183105469,2021-03-23,123.33000183105469,0.024931438164623728
2021-03-23,122.54000091552734,2021-03-31,122.1500015258789,0.0031826292372666345
2021-03-31,121.6500015258789,2021-05-04,131.19000244140625,0.07842170814521425
2021-05-04,127.8499984741211,2021-06-08,126.73999786376953,0.008682054154081548
2021-06-08,126.5999984741211,2021-08-06,146.35000610351562,0.15600322170171055
2021-08-06,146.13999938964844,2021-08-12,148.88999938964844,-0.01881757226964099
2021-08-12,146.19000244140625,2021-08-18,149.8000030517578,0.02469389527371046
2021-08-18,146.36000061035156,2021-08-20,148.19000244140625,-0.012503428692424162
2021-08-20,147.44000244140625,2021-09-10,155.0,0.051275077546191365
2021-09-10,148.97000122070312,2021-10-14,143.75999450683594,0.03497352937621596
2021-10-14,142.11000061035156,2021-11-10,150.02000427246094,0.05566113312318989
2021-11-10,147.9199981689453,2021-11-12,149.99000549316406,-0.013994100526248738
2021-11-12,148.42999267578125,2022-01-05,179.61000061035156,0.21006541449259153
2022-01-05,174.9199981689453,2022-01-31,174.77999877929688,0.0008003624006056759
2022-01-31,170.16000366210938,2022-02-11,172.3300018310547,0.012752692302794773
2022-02-11,168.63999938964844,2022-02-15,172.7899932861328,-0.024608597672582253
2022-02-15,170.97000122070312,2022-02-17,171.02999877929688,0.00035092447894587
2022-02-17,168.8800048828125,2022-03-18,163.97999572753906,0.029014738356228746
2022-03-18,160.50999450683594,2022-04-11,168.7100067138672,0.05108723747842394
2022-04-11,165.75,2022-04-13,170.39999389648438,-0.028054261818910256
2022-04-13,167.38999938964844,2022-04-14,170.6199951171875,0.01929622880289471
2022-04-14,165.2899932861328,2022-05-04,166.02000427246094,-0.004416546772219938
2022-05-04,159.6699981689453,2022-05-05,163.85000610351562,0.026179044169258935
2022-05-05,156.77000427246094,2022-05-27,149.63999938964844,0.04548067033551134
2022-05-27,145.38999938964844,2022-05-31,149.07000732421875,0.025311286539783314
2022-05-31,148.83999633789062,2022-06-01,148.7100067138672,0.0008733514325567453
2022-06-01,149.89999389648438,2022-06-03,146.89999389648438,-0.020013343043040373
2022-06-03,145.3800048828125,2022-06-07,148.7100067138672,-0.022905500888784024
2022-06-07,144.35000610351562,2022-06-09,147.0800018310547,0.018912335380029982
2022-06-09,142.63999938964844,2022-06-24,141.66000366210938,0.006870413150115185
2022-06-24,139.89999389648438,2022-06-28,142.1300048828125,0.015940036337515267
2022-06-28,137.44000244140625,2022-07-05,141.55999755859375,-0.029976681053566965
2022-07-05,137.77000427246094,2022-08-26,170.57000732421875,0.23807797078158513
2022-08-26,163.6199951171875,2022-10-21,147.27000427246094,0.0999266063601604
2022-10-21,142.8699951171875,2022-11-02,148.9499969482422,0.04255618421536051
2022-11-02,145.02999877929688,2022-11-10,146.8699951171875,-0.012687005125682216
2022-11-10,141.24000549316406,2022-11-28,145.13999938964844,0.027612530053838978
